Date,Symbol,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close
,,AAPL,TSLA,MSFT,GOOG,AMZN,NVDA,META,NFLX,JPM,BAC
2025-01-02,MSFT,,,416.97686767578125,,,,,,,
2025-01-02,NFLX,,,,,,,,886.72998046875,,
2025-01-02,NVDA,,,,,,138.2876739501953,,,,
2025-01-02,TSLA,,379.2799987792969,,,,,,,,
2025-01-03,AAPL,242.7743682861328,,,,,,,,,
2025-01-03,AMZN,,,,,224.19000244140625,,,,,
2025-01-03,BAC,,,,,,,,,,44.26811981201172
2025-01-03,GOOG,,,,192.6786346435547,,,,,,
2025-01-03,JPM,,,,,,,,,240.54833984375,
2025-01-03,META,,,,,,,603.6281127929688,,,
2025-01-03,MSFT,,,421.7286071777344,,,,,,,
2025-01-03,NFLX,,,,,,,,881.0499877929688,,
2025-01-03,NVDA,,,,,,144.44668579101562,,,,
2025-01-03,TSLA,,410.44000244140625,,,,,,,,
2025-01-06,AAPL,244.41041564941406,,,,,,,,,
2025-01-06,AMZN,,,,,227.61000061035156,,,,,
2025-01-06,BAC,,,,,,,,,,44.850982666015625
2025-01-06,GOOG,,,,197.49734497070312,,,,,,
2025-01-06,JPM,,,,,,,,,239.3755645751953,
2025-01-06,META,,,,,,,629.15576171875,,,
2025-01-06,MSFT,,,426.21136474609375,,,,,,,
2025-01-06,NFLX,,,,,,,,881.7899780273438,,
2025-01-06,NVDA,,,,,,149.40586853027344,,,,
2025-01-06,TSLA,,411.04998779296875,,,,,,,,
2025-01-07,AAPL,241.62713623046875,,,,,,,,,
2025-01-07,AMZN,,,,,222.11000061035156,,,,,
2025-01-07,BAC,,,,,,,,,,45.522762298583984
2025-01-07,GOOG,,,,196.25025939941406,,,,,,
2025-01-07,JPM,,,,,,,,,241.6813507080078,
2025-01-07,META,,,,,,,616.8661499023438,,,
2025-01-07,MSFT,,,420.7523498535156,,,,,,,
2025-01-07,NFLX,,,,,,,,879.1900024414062,,
2025-01-07,NVDA,,,,,,140.11737060546875,,,,
2025-01-07,TSLA,,394.3599853515625,,,,,,,,
2025-01-08,AAPL,242.11595153808594,,,,,,,,,
2025-01-08,AMZN,,,,,222.1300048828125,,,,,
2025-01-08,BAC,,,,,,,,,,45.651187896728516
2025-01-08,GOOG,,,,194.933349609375,,,,,,
2025-01-08,JPM,,,,,,,,,241.6416015625,
2025-01-08,META,,,,,,,609.7080078125,,,
2025-01-08,MSFT,,,422.9339904785156,,,,,,,
2025-01-08,NFLX,,,,,,,,875.0,,
2025-01-08,NVDA,,,,,,140.08738708496094,,,,
2025-01-08,TSLA,,394.94000244140625,,,,,,,,
2025-01-10,AAPL,236.28004455566406,,,,,,,,,
2025-01-10,AMZN,,,,,218.94000244140625,,,,,
2025-01-10,BAC,,,,,,,,,,44.564491271972656
2025-01-10,GOOG,,,,192.71852111816406,,,,,,
2025-01-10,JPM,,,,,,,,,238.40155029296875,
2025-01-10,META,,,,,,,614.8394775390625,,,
2025-01-10,MSFT,,,417.345458984375,,,,,,,
2025-01-10,NFLX,,,,,,,,837.6900024414062,,
2025-01-10,NVDA,,,,,,135.88807678222656,,,,
2025-01-10,TSLA,,394.739990234375,,,,,,,,
2025-01-13,AAPL,233.83592224121094,,,,,,,,,
2025-01-13,AMZN,,,,,218.4600067138672,,,,,
2025-01-13,BAC,,,,,,,,,,44.51509475708008
2025-01-13,GOOG,,,,191.84059143066406,,,,,,
2025-01-13,JPM,,,,,,,,,242.71499633789062,
2025-01-13,META,,,,,,,607.3219604492188,,,
2025-01-13,MSFT,,,415.5921936035156,,,,,,,
2025-01-13,NFLX,,,,,,,,840.2899780273438,,
2025-01-13,NVDA,,,,,,133.20849609375,,,,
2025-01-13,TSLA,,403.30999755859375,,,,,,,,
2025-01-14,AAPL,232.71861267089844,,,,,,,,,
2025-01-14,AMZN,,,,,217.75999450683594,,,,,
2025-01-14,BAC,,,,,,,,,,45.22638702392578
2025-01-14,GOOG,,,,190.60348510742188,,,,,,
2025-01-14,JPM,,,,,,,,,245.9550323486328,
2025-01-14,META,,,,,,,593.2652587890625,,,
2025-01-14,MSFT,,,414.0780334472656,,,,,,,
2025-01-14,NFLX,,,,,,,,828.4000244140625,,
2025-01-14,NVDA,,,,,,131.7387237548828,,,,
2025-01-14,TSLA,,396.3599853515625,,,,,,,,
2025-01-15,AAPL,237.2975616455078,,,,,,,,,
2025-01-15,AMZN,,,,,223.35000610351562,,,,,
2025-01-15,BAC,,,,,,,,,,46.53042221069336
2025-01-15,GOOG,,,,196.51962280273438,,,,,,
2025-01-15,JPM,,,,,,,,,250.80516052246094,
2025-01-15,META,,,,,,,616.0973510742188,,,
2025-01-15,MSFT,,,424.6772766113281,,,,,,,
2025-01-15,NFLX,,,,,,,,848.260009765625,,
2025-01-15,NVDA,,,,,,136.218017578125,,,,
2025-01-15,TSLA,,428.2200012207031,,,,,,,,
2025-01-16,AAPL,227.710693359375,,,,,,,,,
2025-01-16,AMZN,,,,,220.66000366210938,,,,,
2025-01-16,BAC,,,,,,,,,,46.07598876953125
2025-01-16,GOOG,,,,193.9556427001953,,,,,,
2025-01-16,JPM,,,,,,,,,252.71340942382812,
2025-01-16,META,,,,,,,610.2870483398438,,,
2025-01-16,MSFT,,,422.953857421875,,,,,,,
2025-01-16,NFLX,,,,,,,,842.3699951171875,,
2025-01-16,NVDA,,,,,,133.54844665527344,,,,
2025-01-16,TSLA,,413.82000732421875,,,,,,,,
2025-01-17,AAPL,229.4265594482422,,,,,,,,,
2025-01-17,AMZN,,,,,225.94000244140625,,,,,
2025-01-17,BAC,,,,,,,,,,45.96731948852539
2025-01-17,GOOG,,,,197.0883026123047,,,,,,
2025-01-17,JPM,,,,,,,,,257.573486328125,
2025-01-17,META,,,,,,,611.754638671875,,,
2025-01-17,MSFT,,,427.3868713378906,,,,,,,
2025-01-17,NFLX,,,,,,,,858.0999755859375,,
2025-01-17,NVDA,,,,,,137.68777465820312,,,,
2025-01-17,TSLA,,426.5,,,,,,,,
2025-01-21,AAPL,222.10421752929688,,,,,,,,,
2025-01-21,AMZN,,,,,230.7100067138672,,,,,
2025-01-21,BAC,,,,,,,,,,46.09574508666992
2025-01-21,GOOG,,,,199.16343688964844,,,,,,
2025-01-21,JPM,,,,,,,,,261.4197692871094,
2025-01-21,META,,,,,,,615.4385375976562,,,
2025-01-21,MSFT,,,426.8588562011719,,,,,,,
2025-01-21,NFLX,,,,,,,,869.6799926757812,,
2025-01-21,NVDA,,,,,,140.80726623535156,,,,
2025-01-21,TSLA,,424.07000732421875,,,,,,,,
2025-01-22,AAPL,223.29136657714844,,,,,,,,,
2025-01-22,AMZN,,,,,235.00999450683594,,,,,
2025-01-22,BAC,,,,,,,,,,45.23626708984375
2025-01-22,GOOG,,,,199.5625,,,,,,
2025-01-22,JPM,,,,,,,,,261.2309265136719,
2025-01-22,META,,,,,,,622.4668579101562,,,
2025-01-22,MSFT,,,444.4911193847656,,,,,,,
2025-01-22,NFLX,,,,,,,,953.989990234375,,
2025-01-22,NVDA,,,,,,147.04627990722656,,,,
2025-01-22,TSLA,,415.1099853515625,,,,,,,,
2025-01-23,AAPL,223.1217803955078,,,,,,,,,
2025-01-23,AMZN,,,,,235.4199981689453,,,,,
2025-01-23,BAC,,,,,,,,,,45.82901382446289
2025-01-23,GOOG,,,,199.11355590820312,,,,,,
2025-01-23,JPM,,,,,,,,,264.3219299316406,
2025-01-23,META,,,,,,,635.3953857421875,,,
2025-01-23,MSFT,,,444.9991149902344,,,,,,,
2025-01-23,NFLX,,,,,,,,984.8599853515625,,
2025-01-23,NVDA,,,,,,147.1962432861328,,,,
2025-01-23,TSLA,,412.3800048828125,,,,,,,,
2025-01-24,AAPL,222.24388122558594,,,,,,,,,
2025-01-24,AMZN,,,,,234.85000610351562,,,,,
2025-01-24,BAC,,,,,,,,,,45.95743942260742
2025-01-24,GOOG,,,,201.42813110351562,,,,,,
2025-01-24,JPM,,,,,,,,,263.21868896484375,
2025-01-24,META,,,,,,,646.4171142578125,,,
2025-01-24,MSFT,,,442.3592834472656,,,,,,,
2025-01-24,NFLX,,,,,,,,977.5900268554688,,
2025-01-24,NVDA,,,,,,142.5969696044922,,,,
2025-01-24,TSLA,,406.5799865722656,,,,,,,,
2025-01-27,AAPL,229.30685424804688,,,,,,,,,
2025-01-27,AMZN,,,,,235.4199981689453,,,,,
2025-01-27,BAC,,,,,,,,,,46.52054977416992
2025-01-27,GOOG,,,,193.31712341308594,,,,,,
2025-01-27,JPM,,,,,,,,,264.2225341796875,
2025-01-27,META,,,,,,,658.7865600585938,,,
2025-01-27,MSFT,,,432.8956604003906,,,,,,,
2025-01-27,NFLX,,,,,,,,971.8900146484375,,
2025-01-27,NVDA,,,,,,118.40088653564453,,,,
2025-01-27,TSLA,,397.1499938964844,,,,,,,,
2025-01-28,AAPL,237.68663024902344,,,,,,,,,
2025-01-28,AMZN,,,,,238.14999389648438,,,,,
2025-01-28,BAC,,,,,,,,,,46.2735710144043
2025-01-28,GOOG,,,,196.60943603515625,,,,,,
2025-01-28,JPM,,,,,,,,,265.504638671875,
2025-01-28,META,,,,,,,673.212646484375,,,
2025-01-28,MSFT,,,445.4872741699219,,,,,,,
2025-01-28,NFLX,,,,,,,,971.8300170898438,,
2025-01-28,NVDA,,,,,,128.9691925048828,,,,
2025-01-28,TSLA,,398.0899963378906,,,,,,,,
2025-01-29,AAPL,238.7839813232422,,,,,,,,,
2025-01-29,AMZN,,,,,237.07000732421875,,,,,
2025-01-29,BAC,,,,,,,,,,46.18465805053711
2025-01-29,GOOG,,,,196.71914672851562,,,,,,
2025-01-29,JPM,,,,,,,,,264.9480285644531,
2025-01-29,META,,,,,,,675.3690185546875,,,
2025-01-29,MSFT,,,440.6358947753906,,,,,,,
2025-01-29,NFLX,,,,,,,,978.1500244140625,,
2025-01-29,NVDA,,,,,,123.6800308227539,,,,
2025-01-29,TSLA,,389.1000061035156,,,,,,,,
2025-01-30,AAPL,237.0182342529297,,,,,,,,,
2025-01-30,AMZN,,,,,234.63999938964844,,,,,
2025-01-30,BAC,,,,,,,,,,46.15502166748047
2025-01-30,GOOG,,,,202.1564178466797,,,,,,
2025-01-30,JPM,,,,,,,,,266.58795166015625,
2025-01-30,META,,,,,,,685.8616333007812,,,
2025-01-30,MSFT,,,413.4006042480469,,,,,,,
2025-01-30,NFLX,,,,,,,,973.239990234375,,
2025-01-30,NVDA,,,,,,124.62987518310547,,,,
2025-01-30,TSLA,,400.2799987792969,,,,,,,,
2025-01-31,AAPL,235.4320831298828,,,,,,,,,
2025-01-31,AMZN,,,,,237.67999267578125,,,,,
2025-01-31,BAC,,,,,,,,,,45.7401008605957
2025-01-31,GOOG,,,,205.11947631835938,,,,,,
2025-01-31,JPM,,,,,,,,,265.66363525390625,
2025-01-31,META,,,,,,,688.0380249023438,,,
2025-01-31,MSFT,,,413.4703674316406,,,,,,,
2025-01-31,NFLX,,,,,,,,976.760009765625,,
2025-01-31,NVDA,,,,,,120.05062103271484,,,,
2025-01-31,TSLA,,404.6000061035156,,,,,,,,
2025-02-03,AAPL,227.46128845214844,,,,,,,,,
2025-02-03,AMZN,,,,,237.4199981689453,,,,,
2025-02-03,BAC,,,,,,,,,,45.651187896728516
2025-02-03,GOOG,,,,202.16639709472656,,,,,,
2025-02-03,JPM,,,,,,,,,265.1766357421875,
2025-02-03,META,,,,,,,696.3042602539062,,,
2025-02-03,MSFT,,,409.3462219238281,,,,,,,
2025-02-03,NFLX,,,,,,,,978.9400024414062,,
2025-02-03,NVDA,,,,,,116.64117431640625,,,,
2025-02-03,TSLA,,383.67999267578125,,,,,,,,
2025-02-04,AAPL,232.23977661132812,,,,,,,,,
