Date,AAPL,AMZN,BAC,GOOG,JPM,META,MSFT,NFLX,NVDA,TSLA
2024-12-27,254.9749298095703,223.75,43.803802490234375,193.58648681640625,238.4620361328125,598.8160400390625,428.881103515625,907.5499877929688,136.98788452148438,431.6600036621094
2024-12-30,251.5930938720703,221.3000030517578,43.379005432128906,192.2396545410156,236.6328125,590.26025390625,423.2029113769531,900.4299926757812,137.46780395507812,417.4100036621094
2024-12-31,249.8173828125,219.38999938964844,43.41851806640625,189.99490356445312,237.0184326171875,584.539794921875,419.88568115234375,891.3200073242188,134.26832580566406,403.8399963378906
2025-01-02,243.26319885253903,220.22000122070312,43.75440979003906,190.18446350097656,237.30517578125,598.2470703125,416.9768676757813,886.72998046875,138.2876739501953,379.2799987792969
2025-01-03,242.7743682861328,224.19000244140625,44.26811981201172,192.6786346435547,240.54833984375,603.6281127929688,421.7286071777344,881.0499877929688,144.44668579101562,410.4400024414063
2025-01-06,244.4104156494141,227.6100006103516,44.850982666015625,197.49734497070312,239.3755645751953,629.15576171875,426.21136474609375,881.7899780273438,149.40586853027344,411.0499877929688
2025-01-07,241.62713623046875,222.1100006103516,45.522762298583984,196.2502593994141,241.6813507080078,616.8661499023438,420.7523498535156,879.1900024414062,140.11737060546875,394.3599853515625
2025-01-08,242.11593627929688,222.1300048828125,45.65118789672852,194.933349609375,241.6416015625,609.7080078125,422.9339599609375,875.0,140.08738708496094,394.9400024414063
2025-01-10,236.280029296875,218.94000244140625,44.564491271972656,192.7185211181641,238.40155029296875,614.8394775390625,417.345458984375,837.6900024414062,135.88807678222656,394.739990234375
2025-01-13,233.8359222412109,218.4600067138672,44.51509475708008,191.8405914306641,242.71499633789065,607.3219604492188,415.5921936035156,840.2899780273438,133.20849609375,403.30999755859375
2025-01-14,232.71861267089844,217.75999450683597,45.22638702392578,190.60348510742188,245.9550323486328,593.2652587890625,414.0780334472656,828.4000244140625,131.7387237548828,396.3599853515625
2025-01-15,237.2975616455078,223.3500061035156,46.53042221069336,196.5196228027344,250.8051605224609,616.0973510742188,424.67724609375,848.260009765625,136.218017578125,428.2200012207031
2025-01-16,227.710693359375,220.66000366210935,46.07598876953125,193.9556427001953,252.71340942382807,610.2870483398438,422.953857421875,842.3699951171875,133.54844665527344,413.8200073242188
2025-01-17,229.4265594482422,225.94000244140625,45.96731948852539,197.0883026123047,257.573486328125,611.754638671875,427.3868408203125,858.0999755859375,137.68777465820312,426.5
2025-01-21,222.10421752929688,230.7100067138672,46.09574508666992,199.16343688964844,261.4197692871094,615.4385375976562,426.85888671875,869.6799926757812,140.80726623535156,424.0700073242188
2025-01-22,223.29135131835935,235.00999450683597,45.23626708984375,199.5625,261.2309265136719,622.4668579101562,444.4910888671875,953.989990234375,147.04627990722656,415.1099853515625
2025-01-23,223.1217803955078,235.4199981689453,45.82901382446289,199.11355590820312,264.3219299316406,635.3953857421875,444.9991149902344,984.8599853515624,147.1962432861328,412.3800048828125
2025-01-24,222.24388122558597,234.8500061035156,45.95743942260742,201.4281311035156,263.2186889648437,646.4171142578125,442.3592834472656,977.5900268554688,142.5969696044922,406.5799865722656
2025-01-27,229.3068389892578,235.4199981689453,46.52054977416992,193.31712341308597,264.2225341796875,658.7865600585938,432.8956604003906,971.8900146484376,118.40087890625,397.1499938964844
2025-01-28,237.68663024902344,238.1499938964844,46.2735710144043,196.60943603515625,265.504638671875,673.212646484375,445.4872741699219,971.8300170898438,128.9691925048828,398.0899963378906
2025-01-29,238.78399658203125,237.07000732421875,46.18465805053711,196.7191467285156,264.9480285644531,675.3690185546875,440.6358947753906,978.1500244140624,123.6800308227539,389.1000061035156
2025-01-30,237.0182342529297,234.63999938964844,46.15502166748047,202.1564178466797,266.58795166015625,685.8616333007812,413.4006042480469,973.239990234375,124.6298828125,400.2799987792969
2025-01-31,235.4320831298828,237.67999267578125,45.7401008605957,205.11947631835935,265.66363525390625,688.0380249023438,413.4703369140625,976.760009765625,120.05062103271484,404.6000061035156
2025-02-03,227.4613037109375,237.4199981689453,45.65118789672852,202.16639709472656,265.1766357421875,696.3042602539062,409.3462219238281,978.9400024414062,116.64117431640624,383.6799926757813
2025-02-04,232.23977661132807,242.05999755859372,46.1451416015625,207.22454833984372,266.2997131347656,703.0231323242188,410.7906494140625,994.8699951171876,118.63085174560548,392.2099914550781
2025-02-05,231.9105682373047,236.1699981689453,46.540306091308594,192.8482208251953,268.77447509765625,703.7020263671875,411.7071228027344,1011.1099853515624,124.80985260009766,378.1700134277344
2025-02-06,232.6587677001953,238.8300018310547,47.162689208984375,192.8582000732422,275.2048645019531,710.8101806640625,414.2274475097656,1015.6799926757812,128.65921020507812,374.3200073242188
2025-02-07,227.08221435546875,229.1499938964844,46.82680130004883,186.7026214599609,274.1116027832031,713.3359985351562,408.1806945800781,1013.9299926757812,129.81903076171875,361.6199951171875
2025-02-10,227.3518524169922,233.13999938964844,46.10562515258789,187.7601318359375,269.3807373046875,716.2112426757812,410.6412048339844,1027.5999755859375,133.54844665527344,350.7300109863281
2025-02-11,232.3153533935547,232.75999450683597,46.22417831420898,186.63278198242188,273.3065490722656,718.6072387695312,409.86419677734375,1008.0800170898438,132.77857971191406,328.5
2025-02-12,236.55978393554688,228.92999267578125,45.65118789672852,184.99661254882807,273.7637634277344,724.1780395507812,407.473388671875,1027.31005859375,131.11883544921875,336.510009765625
2025-02-13,241.21368408203125,230.3699951171875,45.76974105834961,187.4409027099609,274.62841796875,727.352783203125,408.9676513671875,1043.68994140625,135.26815795898438,355.94000244140625
